                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.868,                 4.9543,                 1.7251,                      0,                      0,                      0,                      0,                  2.371,                 4.8685,                 1.4881,              5.004e-05,              5.004e-05,              5.004e-05
                      2,                 2.0853,                 4.7203,                 1.2851,                      0,                      0,                      0,                      0,                 2.1064,                 4.7796,                 1.3373,             0.00010459,             0.00010459,             0.00010459
                      3,                 1.8243,                 4.3683,                 1.1831,                0.00744,                0.13492,                0.04223,                0.02377,                 1.6958,                 4.5092,                 1.1604,             0.00015805,             0.00015805,             0.00015805
                      4,                 1.7792,                 3.9192,                 1.1009,                0.89942,                0.03462,                0.07111,                0.03807,                 1.6005,                 4.1972,                 1.0829,              0.0002104,              0.0002104,              0.0002104
                      5,                 1.7407,                 3.5012,                 1.1057,                0.86373,                 0.0746,                0.13458,                0.07602,                  1.562,                  3.648,                 1.0871,             0.00026165,             0.00026165,             0.00026165
                      6,                 1.7151,                 3.1296,                 1.0744,                0.59442,                0.09738,                0.19736,                0.12004,                 1.5481,                 3.3033,                 1.0486,              0.0003118,              0.0003118,              0.0003118
                      7,                 1.6402,                 2.8357,                  1.074,                0.50894,                0.11903,                0.21018,                0.13847,                 1.4484,                 3.2892,                 1.0467,             0.00036085,             0.00036085,             0.00036085
                      8,                 1.6214,                 2.7008,                 1.0695,                  0.702,                0.10515,                0.23547,                0.14995,                 1.4548,                 3.1947,                 1.0433,              0.0004088,              0.0004088,              0.0004088
                      9,                 1.5797,                 2.5807,                 1.0588,                0.57038,                0.14895,                 0.2712,                0.16867,                 1.4135,                 2.9345,                 1.0254,             0.00045565,             0.00045565,             0.00045565
                     10,                 1.6007,                 2.4756,                 1.0469,                0.43691,                 0.3333,                0.32134,                0.20282,                 1.4499,                  2.469,                 1.0421,              0.0005014,              0.0005014,              0.0005014
                     11,                 1.5511,                 2.3602,                 1.0207,                 0.4316,                0.41476,                 0.3571,                0.21476,                 1.4736,                 2.1995,                 1.0502,             0.00050096,             0.00050096,             0.00050096
                     12,                 1.5093,                 2.2281,                 1.0206,                0.52733,                0.39403,                0.40005,                0.25367,                 1.4331,                 1.9819,                 1.0172,             0.00049545,             0.00049545,             0.00049545
                     13,                 1.4858,                 2.2411,                 1.0123,                0.65942,                0.44737,                0.45697,                0.27432,                 1.4335,                 1.9393,                 1.0251,             0.00048995,             0.00048995,             0.00048995
                     14,                 1.5198,                 2.0985,                 1.0278,                0.65894,                0.47257,                0.49939,                0.30129,                 1.4744,                   1.94,                 1.0099,             0.00048444,             0.00048444,             0.00048444
                     15,                 1.4645,                 2.0049,                 1.0191,                0.69674,                0.46574,                 0.4866,                0.29295,                 1.4173,                 2.1378,                 1.0072,             0.00047894,             0.00047894,             0.00047894
                     16,                 1.4537,                 1.8726,                 1.0049,                0.66911,                0.37155,                0.43159,                0.26123,                 1.3673,                 2.2596,                 1.0125,             0.00047343,             0.00047343,             0.00047343
                     17,                 1.4667,                 1.8157,                 1.0196,                0.71387,                0.38959,                 0.4852,                0.31171,                 1.2976,                 2.1961,                0.98444,             0.00046793,             0.00046793,             0.00046793
                     18,                 1.4209,                 1.8458,                 1.0117,                0.66892,                 0.4343,                0.48151,                0.31383,                 1.2588,                 2.0388,                0.97836,             0.00046243,             0.00046243,             0.00046243
                     19,                 1.4377,                  1.752,                 1.0054,                 0.5988,                0.46931,                0.50268,                0.33168,                 1.2931,                 1.8165,                0.99294,             0.00045692,             0.00045692,             0.00045692
                     20,                 1.4077,                 1.6866,                0.99713,                0.70826,                0.44437,                0.61031,                0.40269,                 1.2975,                  1.792,                0.98358,             0.00045142,             0.00045142,             0.00045142
                     21,                 1.4411,                 1.6813,                 1.0034,                0.73534,                0.52484,                0.67944,                0.45429,                 1.2892,                 1.6653,                0.98006,             0.00044591,             0.00044591,             0.00044591
